iduka	idu/ka
it͡ʃədoːwər	it͡ʃə/doː/wər
kərasnəjarskələː	kərasnəjarsk/ələː
huruwrə	huru/w/rə
taduːdaː	taduː/daː
abult͡ʃa	abul/t͡ʃa
oj	oj
bidɲaʃkə	bidɲaʃkə
həgdigitin	həgdi/gi/tin
śipkaːkaːrduː	śipkaː/kaː/r/duː
ɲamakaːkun	ɲama/kaːkun
umuːnupkənəmil	umuːnup/kənəmi/l
munɲakilt͡ʃal	munɲaki/l/t͡ʃa/l
bəjoďəŋaːt	bəjo/ďəŋaː/t
gələːktədəːt	gələːktə/dəː/t
nada	nada
butťəŋoːl	bu/t/ťəŋoː/l
huwulit	huwuli/t
hurugoːt	huru/goːt
ďantakiːlaː	ďantakiː/laː
nuŋanka	nuŋan/ka
əŋəhiːndəː	əŋəhiː/n/dəː
dinŋiːləːďəŋəːn	dinŋiːləː/ďəŋəː/n
lapəlindaː	lapə/li/n/daː
əŋəhiːtin	əŋəhiː/tin
hoːl	hoː/l
bult͡ʃəl	bu/l/t͡ʃə/l
bihilbun	bi/hi/l/bun
bult͡ʃaďa	bu/l/t͡ʃa/ďa
gələːktənəːkəl	gələːktə/nəː/kəl
ahiːji	ahiː/ji
əmənəndəː	əmən/ə/n/dəː
alaːtťəfkiːl	alaːt/ťə/fkiː/l
əpet	əpet
ďuduːn	ďu/duː/n
guldə	gu/l/də
ɲamajə	ɲama/jə
bakandə	baka/ndə
tugdəː	tug/dəː
buďəŋol	bu/ďəŋo/l
dəγilittə	dəγi/li/t/tə
śipkaːkakaːn	śipkaː/kakaːn
bifkiː	bi/fkiː
hujukukoːn	huju/kukoːn
tuγəwkiː	tuγə/wkiː
atirkaːn	atirkaːn
aŋilawər	aŋi/l/a/wər
uldiːďəkəl	uldiː/ďə/kəl
mərduːwər	mə/r/duː/wər
hutəduːwər	hutə/duː/wər
tala	ta/la
mut	mut
moriktəltə	mo/riktə/l/tə
ətəːp	ə/təː/p
həhənďəriːwətin	həhən/ďə/riː/wə/tin
doːlt͡ʃaːtt͡ʃaran	doːlt͡ʃaːt/t͡ʃa/ra/n
ɲikərəndaː	ɲikə/rə/n/daː
olofśiːdəl	olofśiː/dəl/неясна
kultiritin	kultiri/tin
hərgidaduktin	hər/gida/duk/tin
ťip	ťip
dəgildən	dəgi/l/də/n
gunďənə	gun/ďə/nə
təpkəldən	təpkə/l/də/n
ətirkoːnin	ətirkoːni/n
tardaː	tar/daː
budəp	bu/də/p
bilďəŋol	bi/l/ďəŋo/l
uləːkitťərən	uləːkit/ťə/rə/n
mərtin	mə/r/tin
hurudəːwər	huru/dəː/wər
ɲəkəďərə	ɲəkə/ďə/rə
ahiːnən	ahiː/nən
hutəlgəliji	hutə/l/gəli/ji
doŋotoďoktin	doŋoto/ďo/ktin
gunďərən	gun/ďə/rə/n
dəgilwə	dəgi/l/wə
dəgil	dəgi/l
umuːnuptədaː	umuːnup/tə/daː
dəgildə	dəgi/l/də
huwulitin	huwuli/tin
haːlďakanəm	haːlďa/kanəm
iləːkə	iləː/kə
huruďərə	huru/ďə/rə
haːlďakanəmil	haːlďa/kanəmi/l
ďukt͡ʃaduːwər	ďukt͡ʃa/duː/wər
nuŋartinka	nuŋartin/ka
ogdokoːloːwər	ogdokoː/loː/wər
oďara	o/ďa/ra
tuγəɲiːduː	tuγə/ɲiː/duː
biďəfkiːl	bi/ďə/fkiː/l
tawər	ta/wər
dəgilildədəːji	dəgi/li/ldə/dəː/ji
ɲikəśə	ɲikə/śə
dəgilnun	dəgi/l/nun
əďiŋəː	ə/ďiŋəː
dəgrə	dəg/rə
ista	is/ta
əwadaː	ə/wa/daː
ugiːγit	ugiː/γit
garaduk	gara/duk
buruśo	buru/śo
hərgiːskiː	hərgiːskiː
hiŋilgənduː	hiŋilgən/duː
lupaγo	lupaγo
lupahodal	lupa/hodal
aːhiśa	aː/hi/śa
ďa	ďa
ɲamalaːnkem	ɲama/laːn/kem
tugəďəďəŋoː	tugə/ďə/ďəŋoː
bihim	bi/hi/m
alanďaŋa	alan/ďaŋa
ojotin	ojo/tin
holbal	holba/l
osal	o/sa/l
hoŋonduːn	hoŋo/n/duː/n
horoki	horoki
ugiːdoːtin	ugiːdoː/tin
holbamal	holba/ma/l
bifkiːl	bi/fkiː/l
əfkiːl	ə/fkiː/l
iləːdəː	iləː/dəː
tugəďəfkiːl	tugə/ďə/fkiː/l
ɲikəśodəː	ɲikə/śo/dəː
həwəkiːnun	həwəkiː/nun
girkiːlaďəfkiː	girkiː/la/ďə/fkiː
ďawusaďasatə	ďawu/sa/ďa/sa/tə
girkiːtəːďəśo	girkiː/təː/ďə/śo
aŋilduk	aŋi/l/duk
śitalduk	śita/l/duk
biśə	bi/śə
ahiː	ahiː
ahiːwə	ahiː/wə
bəjəwə	bəjə/wə
ɲikəwkiːdaː	ɲikə/wkiː/daː
eːkunmal	eːkun/mal
muːjan	muː/ja/n
gənnoːfkiː	gənnoː/fkiː
idukpəl	iduk/pəl
ahiːnun	ahiː/nun
ofkiːl	o/fkiː/l
targaśin	tar/gaśin
iduːwəl	iduː/wəl
ətəjətt͡ʃəkəl	ətəjə/t/t͡ʃə/kəl
bəjəŋilbəw	bəjə/ŋi/l/bə/w
ilaːwəl	ilaː/wəl
huruďəndə	huru/ďə/ndə
ɲiːduːdəː	ɲiː/duː/dəː
hə	hə
oďariːwəw	o/ďa/riː/wə/w
əməďəŋoːn	əmə/ďəŋoː/n
aśinduːw	aśin/duː/w
huruďəriːwən	huru/ďəriː/wə/n
isətt͡ʃo	isə/t/t͡ʃo
gunďəp	gunďəp
aŋə	aŋə
eːkurba	eːku/r/ba
əlba	ə/l/ba
hawalďafkiː	hawal/ďa/fkiː
aŋilba	aŋi/l/ba
ofkiːdaː	o/fkiː/daː
muːwə	muː/wə
gənnəːfkiː	gənnəː/fkiː
idukpəldaː	iduk/pəl/daː
əfkoː	ə/fkoː
ɲiːduː	ɲiː/duː
iśəfkəːnmurə	iśə/fkəːn/mu/rə
iśəfkəːkəl	iśə/fkəː/kəl
iduː	iduː
tariŋilin	tari/ŋi/li/n
ətəm	ətə/m
ahuːra	ahuː/ra
ahuːratəː	ahuː/ra/təː
guśokuːn	gu/śo/kuːn
ɲikəsədəː	ɲikə/sə/dəː
ďuktəduːtin	ďuktə/duː/tin
tumɲisadaː	tumɲi/sa/daː
ɲiː	ɲiː
əməśəːn	əmə/śəː/n
haːrgi	haːrgi
əməktəśoːn	əmə/ktə/śoː/n
bəjəŋilbas	bəjə/ŋi/l/ba/s
tumɲirəndaː	tumɲi/rə/n/daː
dərəlduːtin	dərə/l/duː/tin
wamult͡ʃa	wa/mu/l/t͡ʃa
ďəfsamdalon	ďəfsamda/l/o/n
giramdamiːla	giramda/miː/la
ďəw	ďəw
ďəwuwkiː	ďəwu/wkiː
oďaŋaːs	o/ďaŋaː/s
hinə	hinə
noːdaďiŋaːw	noːda/ďiŋaː/w
girkuɲďakal	girku/ɲ/ďa/kal
iduːdəː	iduː/dəː
guśə	gu/śə
ɲikənə	ɲikə/nə
tawar	ta/war
turəːn	turəː/n
aśin	aśin
odan	o/da/n
bəjəduk	bəjə/duk
alitna	alit/na
